"filename","restoration_type","eBird_codes","bout","song","call","begin_time_in_s","end_time_in_s","low_freq_in_Hz","high_freq_in_Hz","peak_freq_in_Hz","center_freq_in_Hz","delta_freq_in_Hz","BW_90_in_Hz","delta_time_in_s","dur_90_in_s","min_amp","max_amp","peak_amp"
"INOA03R_20201217_062000_40-50","Active","ABFL","bout 1",0,1,6.50556266,6.90828796,5040.9,9412.6,8156.25,7593.75,4371.747,3562.5,0.4027,0.32,-2826,2907,2907
"INOA03R_20201217_062000_40-50","Active","ABFL","bout 2",0,1,8.41386103,8.83517366,4505.6,9189.6,7500,7406.25,4684.015,3375,0.4213,0.3093,-6082,6014,6082
"INOA03R_20201217_062000_40-50","Active","ABFL","bout 3",0,1,9.22550742,9.72116934,5710,9457.2,8062.5,7875,3747.212,3375,0.4957,0.4267,-863,953,953
"INOA03R_20201217_062000_50-60","Active","ABFL","bout 1",0,1,0.08054506,0.58240275,5977.7,9278.8,6656.25,7312.5,3301.115,2812.5,0.5019,0.432,-661,687,687
"INOA03R_20201217_062000_50-60","Active","ABFL","bout 2",0,1,1.3568745,2.74472786,4371.7,9903.3,7500,7218.75,5531.599,4218.75,1.3879,1.184,-2361,2671,2671
"INOA03R_20201217_062000_50-60","Active","ABFL","bout 3",0,1,3.22799823,4.60965582,4817.8,9858.7,7125,7218.75,5040.892,3468.75,1.3817,1.072,-4504,4227,4504
"INOA03R_20201217_062000_50-60","Active","ABFL","bout 4",0,1,7.33579637,8.0173315,5710,9323.4,6937.5,7500,3613.383,3093.75,0.6815,0.608,-2418,2424,2424
"INOA03R_20201217_062000_50-60","Active","ABFL","bout 5",0,1,8.45103568,8.81658634,5754.6,9011.2,8062.5,7500,3256.506,2718.75,0.3656,0.304,-1427,1469,1469
"INOA03R_20201217_062000_50-60","Active","ABFL","bout 6",0,1,9.50431725,9.99997917,5754.6,9145,8156.25,7500,3390.335,2906.25,0.4957,0.4693,-1219,1255,1255
"INOA03R_20201217_062000_60-70","Active","ABFL","bout 1",0,1,0.03717464,1.01610693,5843.9,9100.4,9000,7781.25,3256.506,2906.25,0.9789,0.848,-3687,3734,3734
"INOA03R_20201217_062000_60-70","Active","ABFL","bout 2",0,1,2.52168,3.04832079,5843.9,9278.8,7218.75,7500,3434.944,2812.5,0.5266,0.432,-695,775,775
"INOA03R_20201217_062000_60-70","Active","ABFL","bout 3",0,1,4.05823194,4.3060629,5397.8,9055.8,7593.75,7312.5,3657.993,3187.5,0.2478,0.2187,-1054,1015,1054
"INOA03R_20201217_062000_60-70","Active","ABFL","bout 4",0,1,4.88846565,5.19825435,5620.8,8921.9,7406.25,7312.5,3301.115,2906.25,0.3098,0.2667,-1086,1206,1206
"INOA03R_20201217_062000_60-70","Active","ABFL","bout 5",0,1,5.77446133,5.89837681,5843.9,9100.4,8250,7593.75,3256.506,2718.75,0.1239,0.0907,-1021,1369,1369
"INOA03R_20201217_062000_60-70","Active","ABFL","bout 6",0,1,8.40766526,9.47333838,5799.3,9323.4,9187.5,7593.75,3524.164,3093.75,1.0657,0.928,-2813,2812,2813
"INOA03R_20201217_062000_70-80","Active","ABFL","bout 1",0,1,1.58611813,3.02973347,5531.6,9189.6,7781.25,7687.5,3657.993,3187.5,1.4436,1.3493,-2635,2595,2635
"INOA03R_20201217_062000_70-80","Active","ABFL","bout 2",0,1,7.11894428,8.86615253,5799.3,9546.5,8812.5,7687.5,3747.212,3281.25,1.7472,1.552,-2193,2722,2722
"SEL107R_20201204_082000_100-110","Active","ABFL","bout 1",0,1,2.651791254,3.550178477,4371.7,8297.4,7687.5,7406.25,3925.651,3093.75,0.8984,0.704,-704,750,750
"SEL107R_20201204_082000_100-110","Active","ABFL","bout 2",0,1,6.511758429,6.970245702,4773.2,8163.6,7687.5,7406.25,3390.335,2906.25,0.4585,0.3467,-743,840,840
"SEL107R_20201204_082000_110-120","Active","ABFL","bout 1",0,1,3.2589771,3.79181366,4550.2,8119,7781.25,7312.5,3568.773,2906.25,0.5328,0.416,-481,568,568
"SEL107U_20201204_082000_150-160","Passive","ABFL","bout 1",0,1,2.118954693,2.620812384,3301.1,6691.4,5437.5,5250,3390.335,2531.25,0.5019,0.4213,-829,1221,1221
"SEL107U_20201204_082000_150-160","Passive","ABFL","bout 2",0,1,3.184627814,3.785617888,3033.5,6736.1,5906.25,5437.5,3702.602,2343.75,0.601,0.5067,-1620,2055,2055
"SEL107U_20201204_082000_150-160","Passive","ABFL","bout 3",0,1,6.183382409,6.573716168,3390.3,6468.4,5812.5,5531.25,3078.067,1875,0.3903,0.32,-1737,2050,2050
"SEL107U_20201204_082000_150-160","Passive","ABFL","bout 4",0,1,9.653015825,9.999979167,3211.9,6334.6,6000,5250,3122.677,1968.75,0.347,0.2933,-1346,1461,1461
"SEL107U_20201204_082000_160-170","Passive","ABFL","bout 1",0,1,0,0.44609573,3702.6,6334.6,5343.75,5156.25,2631.97,1687.5,0.4461,0.3893,-1062,1284,1284
"SEL107U_20201204_082000_160-170","Passive","ABFL","bout 2",0,1,1.72242516,4.09540659,3390.3,7628.3,5250,5343.75,4237.918,3187.5,2.373,2.096,-1297,1175,1297
"SEL107U_20201204_082000_170-180","Passive","ABFL","bout 1",0,1,5.52663037,7.15611892,3211.9,7895.9,5625,5437.5,4684.015,3187.5,1.6295,1.392,-1907,1889,1907
