date,site_id,site_type,start_time,time_segment,bird_mammal,common_name,old_common_name,number,distance,HSF,notes
2019-Nov-05,VAR2_10R,Restored,6.46,1,Bird,Greenish Warbler,,1,5,H,
2019-Nov-05,VAR2_10R,Restored,6.46,1,Bird,Large-billed Leaf Warbler,,1,30,H,
2019-Nov-05,VAR2_10R,Restored,6.46,1,Bird,Yellow-browed Bulbul,,1,20,H,
2019-Nov-05,VAR2_10R,Restored,6.46,1,Bird,Large-billed Leaf Warbler,,1,30,H,
2019-Nov-05,VAR2_10R,Restored,6.46,1,Bird,Vernal Hanging-Parrot,Indian Lorikeet,1,10,F,OC
2019-Nov-05,VAR2_10R,Restored,6.46,1,Bird,Yellow-browed Bulbul,,2,20,H,
2019-Nov-05,VAR2_10R,Restored,6.46,1,MAMMAL,NILGIRI LANGUR,,1,20,H,
2019-Nov-05,VAR2_10R,Restored,6.46,1,Bird,Puff-throated Babbler,,2,15,H,
2019-Nov-05,VAR2_10R,Restored,6.46,2,Bird,Indian Blue Robin,,1,30,H,
2019-Nov-05,VAR2_10R,Restored,6.46,2,Bird,Vernal Hanging-Parrot,Indian Lorikeet,1,10,F,OC
2019-Nov-05,VAR2_10R,Restored,6.46,3,Bird,Indian White-eye,,1,5,H,G
2019-Nov-05,VAR3_10R,Restored,7.12,1,Bird,Indian White-eye,,1,10,H,G
2019-Nov-05,VAR3_10R,Restored,7.12,1,Bird,Common Iora,,1,15,H,
2019-Nov-05,VAR3_10R,Restored,7.12,1,Bird,Greater Flameback,,2,20,H,heard drumming and call
2019-Nov-05,VAR3_10R,Restored,7.12,1,Bird,Vernal Hanging-Parrot,Indian Lorikeet,1,5,F,OC
2019-Nov-05,VAR3_10R,Restored,7.12,1,Bird,Greater Racket-tailed Drongo,,1,30,H,
2019-Nov-05,VAR3_10R,Restored,7.12,1,Bird,Crimson-backed Sunbird,Small Sunbird,2,20,H,
2019-Nov-05,VAR3_10R,Restored,7.12,1,Bird,Malabar Whistling-Thrush,,1,20,H,
2019-Nov-05,VAR3_10R,Restored,7.12,1,Bird,Vernal Hanging-Parrot,Indian Lorikeet,1,20,H,
2019-Nov-05,VAR3_10R,Restored,7.12,1,Bird,Blue-throated Flycatcher,Blue-throated Blue-Flycatcher,1,10,H,
2019-Nov-05,VAR3_10R,Restored,7.12,1,Bird,Indian Scimitar-Babbler,,1,10,H,
2019-Nov-05,VAR3_10R,Restored,7.12,1,Bird,Flame-throated Bulbul,Ruby-throated Bulbul,1,20,H,
2019-Nov-05,VAR3_10R,Restored,7.12,1,Bird,Red-whiskered Bulbul,,1,20,H,tea
2019-Nov-05,VAR3_10R,Restored,7.12,2,Bird,Green Warbler,,1,15,H,
2019-Nov-05,VAR3_10R,Restored,7.12,2,Bird,Vernal Hanging-Parrot,Indian Lorikeet,1,20,H,
