GBD_SpeciesID,Order,Family,Species,Communal,Uncertainty 1,Duet,Chorus,Social bond,Territory,Uncertainty 2,Molecular,Sources
10000,Tinamiformes,Tinamidae,Tinamus tao,1,B,1,0,2,3,B,0,"1, 2, 3"
10001,Tinamiformes,Tinamidae,Tinamus solitarius,0,A,0,0,2,3,A,0,"1, 2, 3"
10002,Tinamiformes,Tinamidae,Tinamus osgoodi,0,A,0,0,2,2,B,0,"2, 3"
10003,Tinamiformes,Tinamidae,Tinamus major,1,A,1,0,2,2,A,1,"1, 2, 3 "
10004,Tinamiformes,Tinamidae,Tinamus guttatus,0,A,0,0,2,2,C,0,"1, 2, 3"
10005,Tinamiformes,Tinamidae,Nothocercus bonapartei,0,A,0,0,2,2,B,0,"1, 2, 3"
10006,Tinamiformes,Tinamidae,Nothocercus julius,0,A,0,0,2,2,C,0,"1, 2, 3"
10007,Tinamiformes,Tinamidae,Nothocercus nigrocapillus,0,A,0,0,2,3,B,0,"1, 2, 3"
10008,Tinamiformes,Tinamidae,Crypturellus berlepschi,0,A,0,0,2,3,B,0,"1, 2, 3"
10009,Tinamiformes,Tinamidae,Crypturellus cinereus,0,A,0,0,2,3,B,0,"1, 2, 3"
10010,Tinamiformes,Tinamidae,Crypturellus soui,0,A,0,0,2,3,B,1,"1, 2, 3"
10011,Tinamiformes,Tinamidae,Crypturellus ptaritepui,0,B,0,0,2,3,C,0,3
10012,Tinamiformes,Tinamidae,Crypturellus obsoletus,1,B,1,0,2,3,B,1,"1, 2, 3"
10013,Tinamiformes,Tinamidae,Crypturellus undulatus,0,A,0,0,1,2,B,1,"1, 2, 3"
10014,Tinamiformes,Tinamidae,Crypturellus transfasciatus,0,A,0,0,1,3,C,0,"1, 2, 3"
10015,Tinamiformes,Tinamidae,Crypturellus strigulosus,0,A,0,0,1,3,C,1,"1, 2, 3"
10016,Tinamiformes,Tinamidae,Crypturellus duidae,0,C,0,0,1,3,C,0,"1, 2, 3"
10017,Tinamiformes,Tinamidae,Crypturellus erythropus,0,B,0,0,1,3,C,0,"1, 2, 3"
10018,Tinamiformes,Tinamidae,Crypturellus noctivagus,0,B,0,0,1,3,B,0,"1, 2, 3"
10019,Tinamiformes,Tinamidae,Crypturellus atrocapillus,0,A,0,0,1,3,C,0,"1, 2, 3"
10020,Tinamiformes,Tinamidae,Crypturellus cinnamomeus,0,B,0,0,1,3,B,0,"1, 2, 3"
10021,Tinamiformes,Tinamidae,Crypturellus boucardi,0,B,0,0,1,2,B,0,"1, 2, 3"
10022,Tinamiformes,Tinamidae,Crypturellus kerriae,0,B,0,0,1,3,C,0,"1, 2, 3"
10023,Tinamiformes,Tinamidae,Crypturellus variegatus,0,A,0,0,1,3,B,1,"1, 2, 3"
10024,Tinamiformes,Tinamidae,Crypturellus brevirostris,1,B,1,0,2,3,C,0,"1, 2, 3, 70 "
10025,Tinamiformes,Tinamidae,Crypturellus bartletti,1,B,1,0,2,3,C,0,"2, 3 "
10026,Tinamiformes,Tinamidae,Crypturellus parvirostris,0,B,0,0,2,3,B,1,"1, 2, 3"
10027,Tinamiformes,Tinamidae,Crypturellus casiquiare,0,B,0,0,2,3,C,0,"1, 2, 3"
10028,Tinamiformes,Tinamidae,Crypturellus tataupa,1,B,1,0,2,3,B,1,"2, 3"
10029,Tinamiformes,Tinamidae,Rhynchotus rufescens,0,A,0,0,2,1,B,1,"1, 2, 3"
10030,Tinamiformes,Tinamidae,Rhynchotus maculicollis,0,A,0,0,2,2,B,0,"1, 2, 3"
10031,Tinamiformes,Tinamidae,Nothoprocta taczanowskii,0,A,0,0,2,2,C,0,"1, 2, 3"
10032,Tinamiformes,Tinamidae,Nothoprocta ornata,0,A,0,0,2,3,B,0,"1, 2, 3"
10033,Tinamiformes,Tinamidae,Nothoprocta perdicaria,0,A,0,0,2,3,C,1,"1, 2, 3"
10034,Tinamiformes,Tinamidae,Nothoprocta cinerascens,0,A,0,0,1,3,B,1,"1, 2, 3"
10035,Tinamiformes,Tinamidae,Nothoprocta pentlandii,0,A,0,0,1,2,C,0,"1, 2, 3"
10036,Tinamiformes,Tinamidae,Nothoprocta curvirostris,0,A,0,0,1,2,C,0,"1, 2, 3"
10037,Tinamiformes,Tinamidae,Nothura boraquira,0,A,0,0,2,2,C,0,"1, 2, 3"
10038,Tinamiformes,Tinamidae,Nothura minor,0,C,0,0,2,3,C,0,"1, 2, 3"
10039,Tinamiformes,Tinamidae,Nothura darwinii,0,A,0,0,2,2,C,1,"1, 2, 3"
