scientific_name,common_name,species_annotation_codes,eBird_codes,order,notes,habitat,foraging_habit,family,avibase_ID,total_individuals,female,male,unknown,complete_measures,beakLength_culmen,beakLength_nares,beak_width,beak_depth,tarsus_length,wing_length,kipps_distance,secondary,hand_wing_index,tail_length,mass,migration,trophic_level,trophic_niche,primary_lifestyle
Dicrurus leucophaeus,Ashy Drongo,AD,ASDR,Passeriformes,,RF,CAN,Dicruridae,AVIBASE-5FD53BB1,21,4,17,0,14,25.4,16.7,9.3,8.4,18.6,134.8,42.4,91.8,31.5,134.7,37.6,1,Carnivore,Invertivore,Insessorial
Muscicapa dauurica,Asian Brown Flycatcher,ABF,ABFL,Passeriformes,,OC,MID,Muscicapidae,AVIBASE-585D0B1A,2,1,1,0,2,12.8,7.8,4.7,3.5,14.4,70.5,20.5,50,29.1,49.5,9.8,3,Carnivore,Invertivore,Insessorial
Chalcophaps indica,Asian Emerald Dove,AED,AEDO,Columbiformes,,RF,GRD,Columbidae,AVIBASE-05E5E8F6,58,10,22,26,8,20.9,11.3,3.1,4.2,25.8,143.9,40,100.1,28.7,83.9,136.5,1,Herbivore,Omnivore,Generalist
Irena puella,Asian Fairy-bluebird,AFB,AFBL,Passeriformes,,RF,CAN,Irenidae,AVIBASE-213AA070,14,5,9,0,12,26.3,17.5,7.9,9.1,17.8,125.4,31.5,92.9,25.3,91.8,64.9,1,Herbivore,Frugivore,Insessorial
Eudynamys scolopaceus,Asian Koel,AK,ASKO,Cuculiformes,,OC,MID,Cuculidae,AVIBASE-61503588,10,6,4,0,8,32.1,20.4,10.3,10.6,31,196.4,62.4,136.4,31.4,179.7,194.9,2,Herbivore,Frugivore,Insessorial
Hemipus picatus,Bar-winged Flycatcher-shrike,BWFS,BWFS,Passeriformes,,RF,CAN,Vangidae,AVIBASE-B0066A99,5,2,3,0,4,12.2,8.4,4.3,3.7,11.2,60.7,9.4,52,15.3,55.5,9,1,Carnivore,Invertivore,Insessorial
Ictinaetus malaiensis,Black Eagle,BE,BLEA,Accipitriformes,,RF,CAN,Accipitridae,AVIBASE-28D7E7CC,5,2,3,0,4,51.5,26.1,13.7,18.6,68.7,552.8,240.5,316.8,43.2,314.4,1028,1,Carnivore,Vertivore,Aerial
Milvus migrans,Black Kite,BK,BLKI,Accipitriformes,,OC,GRD,Accipitridae,AVIBASE-06D9A2C8,8,3,5,0,4,40,22.4,13,17.4,51.4,457.4,219.9,237.5,48.1,269.5,734.1,3,Omnivore,Omnivore,Aerial
Ficedula nigrorufa,Black-and-orange Flycatcher,BAOF,BAOF,Passeriformes,,RF,UND,Muscicapidae,AVIBASE-47C88B19,4,2,2,0,4,11.6,6.7,3.8,3.1,18,59.1,9.1,50,15.4,48,9.4,1,Carnivore,Invertivore,Generalist
Oriolus xanthornus,Black-hooded Oriole,BHO,BHOR,Passeriformes,,OC,CAN,Oriolidae,AVIBASE-E931F073,17,6,11,0,8,29.6,19.8,8,7.8,24.3,133.6,36.4,96.6,27.4,82.6,56.3,1,Herbivore,Frugivore,Insessorial
