"common_name","t_value","slope","pearson","slope_dir","r_sq"
"Brown-cheeked Fulvetta",4.95189329439857,11.6730669453427,0.676874518681955,"+",0.439474945559581
"Gray-headed Canary-Flycatcher",2.30540713753016,8.00408634178478,0.441110920335225,"+",0.157968791495307
"Nilgiri Flowerpecker",4.41099913016389,16.3653425581423,0.567301572063297,"+",0.305290368145134
"Bronzed Drongo",-2.6741787678577,-79.7423191278493,-0.464451745534163,"-",0.185550632542412
"Greater Racket-tailed Drongo",7.02511469622085,14.3270453434115,0.743191451336066,"+",0.541141871672484
"Mountain Imperial-Pigeon",2.50464643205414,5.34469718591244,0.447878167973763,"+",0.168618647481436
"Gray Junglefowl",1.41307299787856,3.4213027380673,0.218050268275289,"+",0.0237345674822987
"Southern Hill Myna",0.863994992586553,4.3661105601813,0.133721505085551,"+",-0.00607267027467118
"Square-tailed Bulbul",7.13226498729918,12.7376744611405,0.748202420397445,"+",0.548802033435809
"Yellow-browed Bulbul",3.73464546744786,10.118747624542,0.503819657115213,"+",0.23563508218583
"Asian Fairy-bluebird",3.69671981324519,18.8203837060462,0.514298454407035,"+",0.245147713368767
"Crimson-backed Sunbird",6.26249369882306,4.73167383581814,0.699212441576926,"+",0.476432136954893
"Vernal Hanging-Parrot",4.79132132641469,30.2756609450834,0.599117589160863,"+",0.343306321877093
"Malabar Whistling-Thrush",2.34291797171703,4.72721720203751,0.343621829274276,"+",0.0965656191526726
"Puff-throated Babbler",1.72456136014405,5.4699285607229,0.263072345041568,"+",0.0459372351938114
"Orange Minivet",0.490211954410663,2.6268904142319,0.0772775333201293,"+",-0.0188788874150552
"Large-billed Leaf Warbler",5.47057078432665,15.7606741249419,0.658927294653297,"+",0.419677107322167
"Green Warbler",2.63958450810647,35.8325927620522,0.393628605131839,"+",0.132705149272196
"Greenish Warbler",1.08496621935447,5.25038441331732,0.167061967845959,"+",0.00420018161521196
"Indian Scimitar-Babbler",1.99617213429418,6.22052704576976,0.300986596372234,"+",0.067857754475636
"White-cheeked Barbet",1.41266287763514,4.25087492505107,0.215440050896854,"+",0.0231562305433765
"Velvet-fronted Nuthatch",3.26559584163331,17.4900327504389,0.458788157161717,"+",0.19074873748064
"Indian Paradise-Flycatcher",-1.52656884167247,-36.9915254237288,-0.272730267176104,"-",0.0424639296213264
"Indian White-eye",3.49364376423221,7.31541634026691,0.478961013418396,"+",0.210608619505869
"Asian Emerald Dove",1.00498832966551,4.54169245406763,0.200957472257637,"+",0.000399901725186225
"Malabar Trogon",0.597573176190651,6.21791807242081,0.139472675589671,"+",-0.035022226806295
"Black-naped Monarch",3.51200714867219,19.1143078247644,0.533506885126461,"+",0.261553131847576
"Indian Blue Robin",-0.699463159118317,-9.4238182788684,-0.120868224521798,"-",-0.0152512017646131
"Brown-breasted Flycatcher",-1.09056678605567,-9.07176652934698,-0.205404448211371,"-",0.00671657946890747
"Malabar Barbet",1.8936260767834,6.39677404074089,0.283593222603787,"+",0.0579964601972111
"Greater Coucal",1.15423452070347,9.59525710206152,0.179535153231784,"+",0.00803869302710936
"Greater Flameback",-0.784557167472354,-8.26315332523007,-0.149295907638233,"-",-0.013922240553679
"Large-billed Crow",1.64176651232576,7.65037671178784,0.271022655366844,"+",0.0462019055962742
"Chestnut-headed Bee-eater",1.31570427451008,13.9091513979078,0.233569361819253,"+",0.0230398016733417
"Malabar Parakeet",0.7020969357899,7.97070422535211,0.13905516181778,"+",-0.0198902084507042
"Little Spiderhunter",4.83947173656944,26.3998800584715,0.71807873546321,"+",0.493620573521009
"White-bellied Treepie",1.34093941837211,18.407936123881,0.287210063296899,"+",0.0366141014819589
"Ashy Drongo",-0.00325482458242023,-0.028657958421198,-0.000550165685582701,"-",-0.0285711172410816
"Malabar Gray Hornbill",0.257615163458642,1.50280988897099,0.0417542527098189,"+",-0.0245264924432933
"Red-whiskered Bulbul",6.97949879762185,10.8996206726878,0.741019465127723,"+",0.537837593890632
"Blyth's Reed Warbler",5.56729306950142,18.8990770670041,0.695940167157678,"+",0.468706434938107
"Purple Sunbird",-0.141931719930138,-1.89731822744872,-0.0243338814483902,"-",-0.0288022111022925
"Spotted Dove",4.12211120380325,14.2115973243066,0.628676006039161,"+",0.37197327136048
"Plum-headed Parakeet",5.99384293084859,27.8754908981471,0.727255221883755,"+",0.514178287687102
"Common Tailorbird",3.74039368329989,19.3716885884512,0.591478079388225,"+",0.32484040756589
