"r_squared","common_name","analysis"
0.617155963302752,"Brown-cheeked Fulvetta","abundance_repeatability"
0.255802514792899,"Large-billed Crow","abundance_repeatability"
0.678145695364238,"Gray-headed Canary-Flycatcher","abundance_repeatability"
0.204545454545454,"Bronzed Drongo","abundance_repeatability"
0.459044223750107,"Greater Racket-tailed Drongo","abundance_repeatability"
0.16979608318191,"Mountain Imperial-Pigeon","abundance_repeatability"
0.0167292591328097,"Gray Junglefowl","abundance_repeatability"
0.0153846153846154,"Orange-headed Thrush","abundance_repeatability"
0.0408164111833565,"Southern Hill Myna","abundance_repeatability"
0.15527950310559,"Black-naped Monarch","abundance_repeatability"
0.58773157272369,"Square-tailed Bulbul","abundance_repeatability"
0.126994431077208,"Yellow-browed Bulbul","abundance_repeatability"
0.440879618301933,"Asian Fairy-bluebird","abundance_repeatability"
0.417909265032461,"Crimson-backed Sunbird","abundance_repeatability"
0.374778671127917,"Vernal Hanging-Parrot","abundance_repeatability"
0.207804747904505,"Malabar Whistling-Thrush","abundance_repeatability"
0.464044412413855,"Puff-throated Babbler","abundance_repeatability"
0.103427641548423,"Orange Minivet","abundance_repeatability"
0.699733495812991,"Large-billed Leaf Warbler","abundance_repeatability"
0.598060719357305,"Green Warbler","abundance_repeatability"
0.280198916968068,"Greenish Warbler","abundance_repeatability"
0.223573684730037,"Indian Scimitar-Babbler","abundance_repeatability"
0.242736748232073,"White-cheeked Barbet","abundance_repeatability"
0.622794868425044,"Velvet-fronted Nuthatch","abundance_repeatability"
0.122727272727273,"Indian Paradise-Flycatcher","abundance_repeatability"
0.407686745856613,"Indian White-eye","abundance_repeatability"
0.56016983974798,"Little Spiderhunter","abundance_repeatability"
0.304878048780488,"Asian Emerald Dove","abundance_repeatability"
0.39037147180049,"Nilgiri Flowerpecker","abundance_repeatability"
0.424575424575425,"Indian Blue Robin","abundance_repeatability"
0.0749955412876762,"Brown-breasted Flycatcher","abundance_repeatability"
0.532392744025339,"Malabar Barbet","abundance_repeatability"
0.0292003648525387,"Greater Coucal","abundance_repeatability"
0.0465189873417719,"Greater Flameback","abundance_repeatability"
0.232037241648252,"Chestnut-headed Bee-eater","abundance_repeatability"
0.465337132003799,"Malabar Parakeet","abundance_repeatability"
0.328804347826087,"Ashy Drongo","abundance_repeatability"
0.142737663785894,"Malabar Gray Hornbill","abundance_repeatability"
0.164423648424077,"Red-whiskered Bulbul","abundance_repeatability"
0.578947368421053,"Blyth's Reed Warbler","abundance_repeatability"
0.427350427350427,"Purple Sunbird","abundance_repeatability"
0.142766497461929,"Spotted Dove","abundance_repeatability"
0.473339160839161,"Plum-headed Parakeet","abundance_repeatability"
0.46583850931677,"Common Tailorbird","abundance_repeatability"
