"common_name","t_value","slope","pearson","slope_dir","r_sq"
"Brown-cheeked Fulvetta",4.12738645082984,11.1535669543179,0.601815110146837,"+",0.340920807694418
"Gray-headed Canary-Flycatcher",3.02167085392687,8.94543905082714,0.54156943295716,"+",0.261174607564156
"Nilgiri Flowerpecker",4.11559227965839,12.4117142302685,0.540692343865814,"+",0.275088410976452
"Bronzed Drongo",-2.67781642108804,-66.8428873521175,-0.472117979415355,"-",0.191811201946727
"Greater Racket-tailed Drongo",7.97077012690738,14.0085592670422,0.787169174101677,"+",0.609882367852222
"Mountain Imperial-Pigeon",3.32033238697191,7.23135711612686,0.561041420074223,"+",0.286216119832188
"Gray Junglefowl",0.946397544343687,1.92835402688465,0.146214028651829,"+",-0.0024902738699244
"Orange-headed Thrush",1.38032942106673,1.73760033218563,0.221298417666861,"+",0.0232695569500149
"Southern Hill Myna",2.25335188934278,9.42996629953847,0.331958747443981,"+",0.0884940882973714
"Square-tailed Bulbul",8.29810646898443,11.6786807808111,0.795330593138003,"+",0.623364521190778
"Yellow-browed Bulbul",2.94285183896035,7.65188720279279,0.421871962456946,"+",0.157425351524957
"Asian Fairy-bluebird",3.35369609282385,16.3326733217494,0.487905047181358,"+",0.216886094372406
"Crimson-backed Sunbird",5.50057611593527,4.34930131492794,0.651623037937558,"+",0.410578744145874
"Vernal Hanging-Parrot",5.74838764913638,32.4915949171908,0.668038092339462,"+",0.432769402397439
"Malabar Whistling-Thrush",2.42700276622186,4.37323136083997,0.35442844487392,"+",0.104293169426861
"Puff-throated Babbler",1.94596508503666,5.03287426254728,0.294078678864312,"+",0.0636443260966437
"Orange Minivet",0.190546378011847,1.10023822696726,0.0301143634461448,"+",-0.0240704532420892
"Large-billed Leaf Warbler",5.67612325436398,17.2633532247026,0.672598333208197,"+",0.438347197778918
"Green Warbler",3.44589841786746,35.2011315963106,0.483118431137313,"+",0.213747095902132
"Greenish Warbler",1.30433760261012,5.9373171726404,0.199604111895614,"+",0.016423308838945
"Indian Scimitar-Babbler",2.04657399389836,6.36869510052138,0.307873984874132,"+",0.0721560503263341
"White-cheeked Barbet",1.22151229322155,3.59896705076083,0.187388866436044,"+",0.0115807967096536
"Velvet-fronted Nuthatch",3.72588726127383,18.8963812849015,0.502937260368315,"+",0.234725055863537
"Indian Paradise-Flycatcher",-1.28614108940274,-31.6048034934498,-0.236181462755245,"-",0.0220596006116788
"Indian White-eye",1.98616246227727,4.17699606086494,0.29626124520016,"+",0.0655212309052945
"Little Spiderhunter",4.68120721222143,20.7101258615987,0.683451998596573,"+",0.445790899761077
"Asian Emerald Dove",1.8415089940355,7.30756426019738,0.351859003662608,"+",0.0872966233942118
"Malabar Trogon",1.70807210042588,16.674443692484,0.373466114421421,"+",0.0916701018777584
"Black-naped Monarch",3.39579760018743,16.2419759420186,0.540095392577051,"+",0.266406712835921
"Indian Blue Robin",-0.651120399753095,-10.5587941169297,-0.110976468851023,"-",-0.0167337593425745
"Brown-breasted Flycatcher",-1.54615120636201,-13.0912578625038,-0.275963896867847,"-",0.0442993852149872
"Malabar Barbet",2.05510145808464,5.94678666529386,0.309034521822857,"+",0.072889894070239
"Greater Coucal",0.776143480942557,5.28726064133875,0.124920832000717,"+",-0.010299911672571
"Greater Flameback",-0.89796792765299,-8.56172716441058,-0.176765523663735,"-",-0.00750410762964093
"Large-billed Crow",1.51748810667984,7.6693389336665,0.248459011950483,"+",0.0349242200656794
"Chestnut-headed Bee-eater",-0.409384262287582,-3.46160286454149,-0.0733296300669353,"-",-0.0267073706882544
"Malabar Parakeet",0.587130405237983,4.23380282846453,0.114389921099448,"+",-0.0248732131028184
"White-bellied Treepie",2.04318229942705,22.9443836294589,0.407216981804936,"+",0.126103083140336
"Ashy Drongo",0.263341268624559,2.1563961298268,0.0432525230292151,"+",-0.0251056846367859
"Malabar Gray Hornbill",-0.0701462812391352,-0.406449982587501,-0.0113784927708329,"-",-0.0261829122681132
"Red-whiskered Bulbul",6.868881845333,11.3095697599425,0.739910050071782,"+",0.535863468920232
"Blyth's Reed Warbler",5.32901179423429,14.0194606163729,0.674621332998943,"+",0.439087882435426
"Purple Sunbird",0.962528518302075,7.20132438149546,0.162868206490745,"+",-0.0021055340002083
"Spotted Dove",4.21416600214556,11.1745554362285,0.629898399859252,"+",0.374430216150626
"Plum-headed Parakeet",6.47125219562321,24.7847578077787,0.752893228515231,"+",0.553312220217341
"Common Tailorbird",4.54812181026171,35.6391045604864,0.658626677992545,"+",0.412818326925107
