"common_name","t_value","slope","pearson","slope_dir","r_sq"
"Nilgiri Flowerpecker",3.69696970675607,0.422689339175631,0.504649521141639,"+",0.236037917668198
"Greater Racket-tailed Drongo",8.6523832428582,5.2625949572272,0.844934580592064,"+",0.704378260329629
"Mountain Imperial-Pigeon",2.75216568311591,7.74339621975238,0.606751442510719,"+",0.319543260141826
"Gray Junglefowl",0.168722167679612,0.467809322709612,0.0344198610582382,"+",-0.0404325762132622
"Southern Hill Myna",2.27207717997356,1.15256687406679,0.354138448179736,"+",0.101119986048017
"Square-tailed Bulbul",4.56447323488862,2.00711878601275,0.697419747308357,"+",0.463048590478183
"Yellow-browed Bulbul",3.13513713890926,1.74268295641687,0.448659894796481,"+",0.18081610379363
"Asian Fairy-bluebird",1.49587127333191,0.358861331235944,0.267642561568844,"+",0.0396198697549645
"Crimson-backed Sunbird",4.87150287178063,2.79614334042643,0.60548723613419,"+",0.351166373441455
"Vernal Hanging-Parrot",5.95374492445564,0.338396576151717,0.699487222246517,"+",0.475479195007395
"Malabar Whistling-Thrush",2.42834915508026,2.91629170941114,0.370764615561004,"+",0.114154681237291
"Puff-throated Babbler",2.07603372052942,4.0265981127903,0.390180097519398,"+",0.116917196354424
"Large-billed Leaf Warbler",4.47623579540689,1.73038592774784,0.620523362148044,"+",0.365832031814372
"Greenish Warbler",1.08794729160068,0.179520959183272,0.169529603884669,"+",0.0044587937581253
"Indian Scimitar-Babbler",0.952139502194268,1.08182039169316,0.156728776462216,"+",-0.00253153759056368
"White-cheeked Barbet",1.44823688041039,1.37992886598162,0.22060437327461,"+",0.0254630282763684
"Velvet-fronted Nuthatch",2.97448626903511,0.855699329576912,0.477232539155322,"+",0.202009259642924
"Indian White-eye",1.48595598995043,0.548987927755046,0.228722149907498,"+",0.028621667404766
"Brown-cheeked Fulvetta",2.81031500582704,3.19276257755346,0.563214595754991,"+",0.277046603275661
"Gray-headed Canary-Flycatcher",2.89184043038622,2.48848685552946,0.674847386010513,"+",0.400960893845745
"Malabar Trogon",2.90071295459784,1.9162405735983,0.791996765041144,"+",0.552710651002765
"Green Warbler",1.33177380940973,0.111785669644662,0.257381252680875,"+",0.0288949136008396
"Malabar Barbet",2.78042298122744,5.74547003029587,0.478737952432459,"+",0.199543489679963
"Greater Coucal",-0.068981463002903,-0.0554751426587,-0.0172428019139305,"-",-0.0621841036435418
"Large-billed Crow",0.20408257277225,0.114651152219815,0.0565118669694877,"+",-0.0734838249602092
"Black-naped Monarch",2.75668366782351,1.0502851034096,0.607380228905968,"+",0.320365414963241
"Orange Minivet",1.19875017081255,0.233275601821203,0.22094383787224,"+",0.0148453287613475
"Indian Paradise-Flycatcher",-0.52816430110102,-0.377356720130602,-0.349865345913355,"-",-0.316391359593393
"Little Spiderhunter",4.18382014314404,3.13223739725632,0.812670358388726,"+",0.622703457115178
"Greater Flameback",-0.574746260499463,-0.345602196733977,-0.178821193059271,"-",-0.064825279004145
"Ashy Drongo",3.87260111056979,0.346317079280622,0.684617297640402,"+",0.437447952712473
"Indian Blue Robin",-0.305427942721025,-0.0559750747525644,-0.087828729586487,"-",-0.0749766237808256
"Brown-breasted Flycatcher",-0.775918937880431,-0.224444253048215,-0.301979137780716,"-",-0.0602767004027511
"Asian Emerald Dove",2.61551959728015,7.29332231532708,0.760089682591305,"+",0.493283590698102
"Blyth's Reed Warbler",4.13630517952446,0.825097666956637,0.753814105636709,"+",0.535023067845861
"Purple Sunbird",1.36283527719894,0.490958779260033,0.434074165801091,"+",0.0869729290929027
"Chestnut-headed Bee-eater",0.677212877875716,0.578887417343769,0.16692774814225,"+",-0.0328935723314172
"Red-whiskered Bulbul",2.44359314820564,1.14443701296218,0.4463517207555,"+",0.165864436063954
"Spotted Dove",2.12267320990384,3.35780459752489,0.457726364025995,"+",0.163014213990602
"White-bellied Treepie",12.5904479604564,3.07875102365242,0.987617107324344,"+",0.96923443834963
"Bronzed Drongo",-1.83711729339296,-0.346625035325191,-0.599999997137548,"-",0.253333329325901
"Malabar Gray Hornbill",1.16924463055879,0.944563500520202,0.298269577544877,"+",0.0238907938094279
"Malabar Parakeet",0.257528215201607,0.0667099594000285,0.0712439778524529,"+",-0.071456933744356
"Plum-headed Parakeet",1.69225766329976,0.699439349241332,0.471827152867907,"+",0.144882948401779
"Common Tailorbird",1.54919908657108,0.972576267025458,0.458832811768579,"+",0.122808387950511
