site_id,common_name,density
HP36P1B,Square-tailed Bulbul,0.131765809
HP36P3B,Square-tailed Bulbul,0.105412647
HP36P4B,Square-tailed Bulbul,0.105412647
HP37P1B,Square-tailed Bulbul,0.131765809
HP37P2B,Square-tailed Bulbul,0.026353162
HP37P4B,Square-tailed Bulbul,0.052706323
HP4008R,Square-tailed Bulbul,0.237178456
HP4008U,Square-tailed Bulbul,0.184472132
INBS04R,Square-tailed Bulbul,0.052706323
INBS04U,Square-tailed Bulbul,0
INME03R,Square-tailed Bulbul,0.026353162
INME03U,Square-tailed Bulbul,0
INOA03R,Square-tailed Bulbul,0
IPTO04R,Square-tailed Bulbul,0.052706323
IPTO04U,Square-tailed Bulbul,0.237178456
IPTO06R,Square-tailed Bulbul,0.184472132
IPTO06U,Square-tailed Bulbul,0.237178456
OLCAP2B,Square-tailed Bulbul,0.026353162
OLCAP3B,Square-tailed Bulbul,0.026353162
OLV110R,Square-tailed Bulbul,0
OLV110U,Square-tailed Bulbul,0
OLV208R,Square-tailed Bulbul,0.026353162
OLV208U,Square-tailed Bulbul,0
PANMP1B,Square-tailed Bulbul,0.026353162
PANMP2B,Square-tailed Bulbul,0.026353162
PANMP3B,Square-tailed Bulbul,0.052706323
SEL107R,Square-tailed Bulbul,0
SEL107U,Square-tailed Bulbul,0
SEL207R,Square-tailed Bulbul,0
SEL207U,Square-tailed Bulbul,0
STIN02R,Square-tailed Bulbul,0.026353162
STIN02U,Square-tailed Bulbul,0
THEN10U,Square-tailed Bulbul,0.052706323
UPMAP1B,Square-tailed Bulbul,0.052706323
UPMAP3B,Square-tailed Bulbul,0
UPMAP4B,Square-tailed Bulbul,0
UPMAP5B,Square-tailed Bulbul,0.026353162
UPMAP6B,Square-tailed Bulbul,0
VAR210R,Square-tailed Bulbul,0
VAR310R,Square-tailed Bulbul,0
VAR310U,Square-tailed Bulbul,0
VAR410R,Square-tailed Bulbul,0
VAR410U,Square-tailed Bulbul,0
HP36P1B,White-cheeked Barbet,0.072108879
HP36P3B,White-cheeked Barbet,0.072108879
HP36P4B,White-cheeked Barbet,0.072108879
HP37P1B,White-cheeked Barbet,0.090136099
HP37P2B,White-cheeked Barbet,0.054081659
HP37P4B,White-cheeked Barbet,0.081122489
HP4008R,White-cheeked Barbet,0.054081659
HP4008U,White-cheeked Barbet,0.108163318
INBS04R,White-cheeked Barbet,0.081122489
INBS04U,White-cheeked Barbet,0.054081659
INME03R,White-cheeked Barbet,0.063095269
INME03U,White-cheeked Barbet,0.02704083
INOA03R,White-cheeked Barbet,0.135204148
IPTO04R,White-cheeked Barbet,0.01802722
IPTO04U,White-cheeked Barbet,0.063095269
IPTO06R,White-cheeked Barbet,0.02704083
IPTO06U,White-cheeked Barbet,0.054081659
OLCAP2B,White-cheeked Barbet,0.090136099
OLCAP3B,White-cheeked Barbet,0.072108879
OLV110R,White-cheeked Barbet,0.081122489
OLV110U,White-cheeked Barbet,0.081122489
OLV208R,White-cheeked Barbet,0.063095269
OLV208U,White-cheeked Barbet,0.054081659
PANMP1B,White-cheeked Barbet,0.045068049
PANMP2B,White-cheeked Barbet,0.072108879
PANMP3B,White-cheeked Barbet,0.072108879
