"species","mean_r_squared"
"Gray-headed Canary-Flycatcher",0.48373287239655
"Greater Racket-tailed Drongo",0.366627491716986
"Mountain Imperial-Pigeon",0.115282232150374
"Gray Junglefowl",0.0349991853277272
"Southern Hill Myna",0.146977755039271
"Crimson-backed Sunbird",0.0735559012400009
"Malabar Whistling-Thrush",0.0483489454973874
"Puff-throated Babbler",0.203470864907713
"Large-billed Leaf Warbler",0.380407288375915
"Greenish Warbler",0.159021697551626
"Indian Scimitar-Babbler",0.141180679021042
"Indian White-eye",0.0194195311988216
"Square-tailed Bulbul",0.429116475224572
"Yellow-browed Bulbul",0.0916324079411175
"Asian Fairy-bluebird",0.299356455589995
"Vernal Hanging-Parrot",0.208182368736519
"Orange Minivet",0.0412097609191014
"White-cheeked Barbet",0.101775607706535
"Brown-cheeked Fulvetta",0.343653426491441
"Green Warbler",0.32948147402019
"Velvet-fronted Nuthatch",0.383604825953779
"Nilgiri Flowerpecker",0.42349276606198
"Bronzed Drongo",0.121780009304251
"Indian Paradise-Flycatcher",0.0106740457689081
"Asian Emerald Dove",0.249132096260356
"Indian Blue Robin",0.0154308522539851
"Brown-breasted Flycatcher",0.0770805844511918
"Malabar Trogon",0.119490304813271
"Black-naped Monarch",0.12092547411033
"Malabar Barbet",0.110404676581514
"Greater Flameback",0.0212256911208002
"Malabar Parakeet",0.262196103950929
"Chestnut-headed Bee-eater",0.0901430942342054
"Greater Coucal",0.168609186019184
"Large-billed Crow",0.0281085763770033
"Ashy Drongo",0.0730225631759299
"Little Spiderhunter",0.380821213905929
"White-bellied Treepie",0.0124630233768483
"Malabar Gray Hornbill",0.11447714813324
"Red-whiskered Bulbul",0.279797945729553
"Purple Sunbird",0.142528267825658
"Blyth's Reed Warbler",0.56079459190654
"Spotted Dove",0.363149013893415
"Plum-headed Parakeet",0.266938357845119
"Common Tailorbird",0.328242801906509
