"species","mean_r_squared"
"Greater Coucal",0.0256802999436561
"Purple Sunbird",0.0164608845692369
"Large-billed Crow",0.185989122267642
"White-bellied Treepie",0.0650443380714921
"Nilgiri Flowerpecker",0.260160580418508
"Ashy Drongo",0.0211357873307235
"Greater Racket-tailed Drongo",0.232740438697336
"Gray Junglefowl",0.0274205567880931
"Square-tailed Bulbul",0.43227400291069
"Yellow-browed Bulbul",0.126985241293273
"Crimson-backed Sunbird",0.56109109569326
"Vernal Hanging-Parrot",0.229724189395638
"Malabar Whistling-Thrush",0.167140829498476
"Malabar Gray Hornbill",0.0116030925767289
"Common Tailorbird",0.113200945232169
"Puff-throated Babbler",0.0349960694607448
"Greenish Warbler",0.133631369649935
"Indian Scimitar-Babbler",0.0332908125792722
"White-cheeked Barbet",0.0715810627683469
"Red-whiskered Bulbul",0.608597747544194
"Velvet-fronted Nuthatch",0.03674888136941
"Indian White-eye",0.19794732309198
"Mountain Imperial-Pigeon",0.421641575237594
"Southern Hill Myna",0.0980439943008789
"Brown-breasted Flycatcher",0.0642942696728202
"Large-billed Leaf Warbler",0.520633784003537
"Asian Fairy-bluebird",0.0496432377131876
"Malabar Barbet",0.208678399107075
"Spotted Dove",0.388590427059352
"Brown-cheeked Fulvetta",0.207392908594807
"Asian Emerald Dove",0.146798724744965
"Orange Minivet",0.00505117893504512
"Blyth's Reed Warbler",0.370635508431088
"Malabar Trogon",0.0179051502135643
"Black-naped Monarch",0.155741720192681
"Gray-headed Canary-Flycatcher",0.210137415802094
"Malabar Parakeet",0.0892397896049389
"Plum-headed Parakeet",0.0109667668824948
"Green Warbler",0.0753404615153761
"Chestnut-headed Bee-eater",0.115559607752255
"Indian Blue Robin",0.0358950956603663
"Indian Paradise-Flycatcher",0.122536268515267
"Little Spiderhunter",0.510316208168453
"Greater Flameback",0.00222937581655565
"Bronzed Drongo",0.0106472918250751
