"scientific_name","common_name","habitat","foraging_habit","totDetections"
"Accipiter badius","Shikra","OC","MID",10
"Accipiter trivirgatus","Crested Goshawk","RF","CAN",17
"Amaurornis phoenicurus","White-breasted Waterhen","OC","AQU",73
"Argya striata","Jungle Babbler","OC","GRD",21
"Arundinax aedon","Thick-billed Warbler","OC","UND",69
"Cacomantis passerinus","Gray-bellied Cuckoo","OC","MID",3
"Carpodacus erythrinus","Common Rosefinch","OC","CAN",97
"Chrysomma sinense","Yellow-eyed Babbler","OC","UND",56
"Cyornis tickelliae","Tickell's Blue Flycatcher","OC","MID",18
"Dendronanthus indicus","Forest Wagtail","RF","GRD",22
"Dicaeum erythrorhynchos","Pale-billed Flowerpecker","OC","CAN",46
"Eudynamys scolopaceus","Asian Koel","OC","MID",2
"Hemicircus canente","Heart-spotted Woodpecker","RF","CAN",17
"Ketupa nipalensis","Spot-bellied Eagle-Owl","RF","CAN",7
"Ketupa zeylonensis","Brown Fish-Owl","RF","AQU",2
"Lonchura kelaarti","Black-throated Munia","RF","GRD",10
"Lonchura striata","White-rumped Munia","OC","UND",8
"Micropternus brachyurus","Rufous Woodpecker","OC","MID",29
"Oriolus xanthornus","Black-hooded Oriole","OC","CAN",1
"Otus bakkamoena","Indian Scops-Owl","RF","MID",1
"Pavo cristatus","Indian Peafowl","OC","GRD",57
"Pernis ptilorhynchus","Oriental Honey-buzzard","RF","CAN",16
"Phylloscopus affinis","Tickell's Leaf Warbler","RF","UND",15
"Picumnus innominatus","Speckled Piculet","RF","CAN",93
"Pitta brachyura","Indian Pitta","RF","GRD",10
"Prinia hodgsonii","Gray-breasted Prinia","OC","UND",131
"Pycnonotus cafer","Red-vented Bulbul","OC","MID",29
"Spilornis cheela","Crested Serpent-Eagle","RF","GRD",242
"Strix leptogrammica","Brown Wood-owl","RF","CAN",1
"Upupa epops","Eurasian Hoopoe","OC","GRD",236
"Vanellus indicus","Red-wattled Lapwing","OC","AQU",69
